set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
miss,1,1785,1939,25851,4871,436889,15071,30415,5423,1,1,0,453,1,1,361.09,1,0,2,1,0,0,0,3,219227,202619,54139,39117,8312,6751,9289,76889
miss,186,2647,2738,8403,24355,797066,12783,26043,8135,3,3,0,1285,3,1,581.79,1,0,2,1,0,0,0,3,429559,370211,114789,89389,9980,31069,14965,60047
miss,708,2659,2805,6531,53863,777526,12967,28031,5339,3,3,0,1173,3,1,545.74,1,0,2,1,0,0,0,3,422071,363948,116759,91485,11507,33298,14954,49141
miss,876,2389,2508,6479,22323,714526,13016,24791,5327,3,3,0,1211,3,1,527.72,1,0,2,1,0,0,0,3,382101,335819,98811,77719,11533,29300,16545,54416
miss,1194,2056,2225,11555,2055,595178,12947,27407,5375,3,3,0,2105,3,1,404.50,1,1,2,1,0,0,0,3,312343,279342,63055,76325,5044,25312,9550,33140
miss,1290,2530,2663,6479,55978,727773,12799,27640,5315,3,3,0,1431,3,1,543.05,1,0,2,1,0,0,0,3,391551,342379,107005,76862,11517,31850,17945,54523
miss,3480,2808,2968,6427,53883,828582,13143,30667,5399,3,3,0,1091,3,1,590.06,1,0,2,1,0,0,0,3,443823,381393,131795,87909,11540,38254,20353,54722
miss,6607,2676,2829,6523,21879,830182,12739,24503,5331,3,3,0,2495,3,2,640.59,1,0,2,1,0,0,0,3,465217,405656,121327,87778,11575,36981,20606,72845
miss,6955,2647,2807,6419,53875,773298,12867,25616,5319,3,3,0,1083,3,1,547.35,1,0,2,1,0,0,0,3,420091,360232,119847,95063,11549,28419,14910,57215
miss,8012,2657,2819,6463,53887,782678,12703,24583,5375,3,3,0,1113,3,1,584.29,1,0,2,1,0,0,0,3,422927,367384,122771,87535,9958,30921,17589,62812
miss,8301,2624,2801,6483,53623,761582,12719,25050,5335,3,3,0,1419,3,1,540.35,1,0,2,1,0,0,0,3,400695,348821,137463,83247,11542,28940,14914,54335
miss,8994,2441,2598,6591,53999,699598,13115,25927,5327,3,3,0,1817,3,1,497.75,1,0,2,1,0,0,0,3,371797,323312,114069,88147,11510,25206,20354,43859
miss,9704,2737,2885,6431,56951,759142,12799,27328,5375,3,3,0,1021,3,1,562.87,1,0,2,1,0,0,0,3,423971,361613,110063,87459,9980,28767,14949,59765
miss,9984,2505,2677,6499,53175,719566,12683,27855,5443,3,3,0,1389,3,1,528.36,1,0,2,1,0,0,0,3,388095,340610,111383,84663,11505,25854,12177,54326
miss,10520,2561,2717,6531,56103,744962,12955,28443,5415,3,3,0,1209,3,1,564.16,1,0,2,1,0,0,0,3,420061,364375,113295,96557,11685,28469,19527,54928
miss,10810,2499,2643,9282,55995,718110,12679,25028,5431,3,3,0,1071,3,1,482.34,1,0,2,1,0,0,0,3,361185,308347,114829,78905,11491,26659,12213,43724
miss,11329,2480,2643,6431,1859,751541,12774,31091,5363,2,2,0,1054,2,1,582.57,1,0,2,1,0,0,0,2,408131,354570,101975,77116,11254,25649,22956,60189
miss,11748,2680,2850,6427,53207,791525,13048,25427,5315,3,3,0,1263,3,2,606.83,1,0,2,1,0,0,0,3,428451,375672,132687,88869,7460,34941,17901,62655
miss,12450,2587,2707,6475,56711,756246,12651,24759,5351,3,3,0,1155,3,1,576.45,1,0,2,1,0,0,0,3,405629,348461,114005,70981,11550,30561,20390,57519
miss,13621,2748,2918,6423,53199,810894,12684,33555,5387,3,3,0,1385,3,1,582.66,1,0,2,1,0,0,0,3,443077,380820,124627,98697,11529,30965,14957,62138
miss,15061,2600,2772,6475,1858,811466,12715,25111,5467,2,2,0,1066,2,1,590.15,1,0,2,1,0,0,0,2,453489,396395,109159,87584,11265,31223,14166,59682
miss,15679,2176,2360,6431,1903,625905,12819,51235,5359,3,3,0,1067,3,2,459.40,1,1,2,1,0,0,0,3,338731,298910,83919,79973,11597,13588,14176,48771
miss,15820,2328,2498,6583,1839,695714,12911,37867,5395,2,2,0,1514,2,1,472.24,1,0,2,1,0,0,0,2,369221,317114,109161,80352,11241,20740,17692,36029
miss,15895,2349,2506,6571,53959,668174,13060,27211,5403,3,3,0,1063,3,1,451.95,1,0,2,1,0,0,0,3,343471,298548,114657,72201,7317,23677,12269,35875
miss,16724,2519,2650,6551,21827,762458,12695,27143,10811,3,3,0,1285,3,1,519.60,1,0,2,1,0,0,0,3,409775,365222,127317,100285,11548,28202,17613,46407
miss,17245,2611,2760,6467,56519,755190,15916,27563,5399,3,3,0,1173,3,1,533.33,1,0,2,1,0,0,0,3,413773,356297,116773,96241,11602,26003,17644,52013
miss,17414,2372,2544,6467,22615,708516,12919,24723,5407,3,3,0,1211,3,1,557.15,1,0,2,1,0,0,0,3,386663,340806,102773,80367,8987,23887,13763,57266
miss,17731,1614,1747,6419,1919,444914,12655,25032,8099,3,3,0,1131,3,1,279.90,1,0,2,1,0,0,0,3,224365,199738,78833,55259,6172,9188,9495,27699
miss,17826,2532,2659,6535,53084,706518,12831,27495,5363,3,3,0,1367,3,1,475.04,1,0,2,1,0,0,0,3,375575,331794,104577,92721,11553,18649,9482,43562
miss,20016,2781,2915,6467,53827,825222,13039,24478,8059,3,3,0,1093,3,2,642.81,1,0,2,1,0,0,0,3,461707,399158,127529,90731,11576,34721,21092,73252
miss,23143,2674,2830,6459,27235,790386,12679,26087,8131,3,3,0,2495,3,1,605.15,1,0,2,1,0,0,0,3,436355,382234,118577,87735,11550,33188,16881,65171
miss,23491,2695,2857,6411,59311,772710,12775,27951,5443,3,3,0,1077,3,1,498.19,1,0,2,1,0,0,0,3,399129,339447,122639,86271,11542,31352,6769,43400
miss,24549,2635,2806,6463,56023,756505,12743,27607,5339,3,3,0,1113,3,1,545.66,1,0,2,1,0,0,0,3,414437,355531,106053,89359,11711,23268,14910,57306
miss,24840,2543,2621,10595,58943,733782,12747,24923,5455,3,3,0,1413,3,1,487.48,1,0,2,1,0,0,0,3,390887,334071,123993,83290,7387,20253,14932,43989
miss,25531,2520,2681,6459,53971,717970,13227,28700,5291,3,3,0,1819,3,2,533.31,1,0,2,1,0,0,0,3,403523,354253,102819,93389,11537,24845,17949,62788
miss,26240,2711,2891,6511,53987,786614,12807,28131,5331,3,3,0,1025,3,1,569.75,1,0,2,1,0,0,0,3,441591,370701,114779,90355,14359,28460,20389,57196
miss,26521,2551,2678,6463,53127,738394,12803,27928,5447,3,3,0,1389,3,2,560.35,1,0,2,1,0,0,0,3,421045,368322,106391,93433,11545,29996,12510,64832
miss,27060,2688,2881,6507,55827,759866,15627,24779,5371,3,3,0,1143,3,1,528.98,1,0,2,1,0,0,0,3,403539,343943,122321,88376,12147,27616,11102,51535
miss,27348,2594,2743,6499,53127,715761,12768,30587,5363,3,3,0,1071,3,1,475.23,1,0,2,1,0,0,0,3,369787,319619,102971,84881,7783,25419,14942,48941
miss,27865,2327,2462,6435,1915,716218,12671,30075,5383,3,3,0,1623,3,1,485.92,1,0,2,1,0,0,0,3,379583,334517,115607,88439,11546,22537,8404,51716
miss,28284,2624,2770,6487,56387,765850,12999,24807,5343,3,3,0,2013,3,1,567.53,1,0,2,1,0,0,0,3,426721,373447,110083,91997,11531,21926,20398,60341
miss,28986,2601,2811,17654,53899,750533,12598,24580,5351,3,3,0,1073,3,1,524.33,1,0,2,1,0,0,0,3,404375,349976,117471,92895,11578,23060,17580,48826
