set,block,ordinal,source_center,destination_center,half,model_timestamp,model_order,lambda_bits,gamma_bits,sample_rate_bits,norm_strategy,cache_path,local_difference,shared_difference,addgrain_cycles,select_cycles,model_near_cycles,cache_lookup_cycles,polynomial_cycles,gain_cycles
miss,186,0,143063,144396,215,143743,16,0,1065101558,1194083328,2,4,10,10,313659,51470,4489,12435,12949,56040
miss,186,1,143063,144537,215,143743,16,0,1065101558,1194083328,2,1,0,0,25314,3110,1384,1776,0,0
miss,186,2,143274,144679,211,143743,16,0,1065101558,1194083328,2,1,0,0,7572,2783,1290,193,0,0
miss,708,0,176395,177749,194,176767,16,0,1065101558,1194083328,2,4,10,10,315273,49361,5085,12445,13722,50830
miss,708,1,176395,177882,194,176767,16,0,1065101558,1194083328,2,1,0,0,29360,3433,2060,1778,0,0
miss,708,2,176592,178016,197,176767,16,0,1065101558,1194083328,2,1,0,0,8918,3070,1982,198,0,0
miss,877,0,187211,188549,203,187903,16,0,1065101558,1194083328,2,4,10,10,269699,43867,2694,9745,10992,45191
miss,877,1,187211,188684,203,187903,16,0,1065101558,1194083328,2,1,0,0,26711,3532,1584,221,0,0
miss,877,2,187409,188818,198,187903,16,0,1065101558,1194083328,2,1,0,0,8775,3244,1512,198,0,0
miss,1194,0,207404,208926,573,207487,16,0,1065101558,1194083328,2,4,10,10,223731,33602,5986,10916,3001,39990
miss,1194,1,207643,209071,216,207487,16,0,1065101558,1194083328,2,1,0,0,33294,6736,3081,1766,0,0
miss,1194,2,207836,209217,193,207871,16,0,1065101558,1194083328,2,4,10,10,30372,5284,2276,83,302,16204
