set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
miss,168733,2609,2741,6399,56647,729235,12758,51531,5423,3,3,0,1391,3,1,472.43,1,0,2,1,0,0,0,3
miss,168743,1586,1690,6563,54169,305570,12695,35951,5403,1,1,0,485,1,1,192.38,1,0,2,1,0,0,0,4
miss,170919,2932,3035,6567,59939,827214,12715,29791,5407,3,3,0,1089,3,1,586.15,1,0,2,1,0,0,0,3
miss,174047,2625,2730,6428,22578,797222,12859,30473,5375,3,3,0,2505,3,1,566.44,1,0,2,1,0,0,0,3
miss,174396,2586,2711,6459,57141,754430,13099,30807,5247,3,3,0,1075,3,1,520.56,1,0,2,1,0,0,0,3
miss,175453,2691,2802,6491,59775,779069,12759,32883,5311,3,3,0,1113,3,1,580.05,1,0,2,1,0,0,0,3
miss,175740,2627,2756,6399,56607,759426,13123,33011,5339,3,3,0,1425,3,1,536.78,1,0,2,1,0,0,0,3
miss,176435,2548,2665,6535,57625,735542,12767,26029,5259,4,4,0,1270,4,2,598.70,1,0,2,1,0,0,0,4
miss,177677,2487,2612,6435,1891,781329,12895,25629,8035,3,3,0,1631,3,1,599.14,1,0,2,1,0,0,0,3
miss,178295,1838,1950,6455,1895,523177,12879,30577,5363,3,3,0,1047,3,2,441.04,1,0,2,1,0,0,0,3
miss,178440,2393,2518,6443,1883,739066,12791,24375,5403,3,3,0,3309,3,1,521.36,1,1,2,1,0,0,0,3
miss,178513,2508,2641,6639,60104,711494,13112,26419,5379,3,3,0,1065,3,1,502.84,1,0,2,1,0,0,0,3
miss,179340,2571,2673,6483,22397,773446,12747,34349,5306,3,3,0,1283,3,1,550.56,1,0,2,1,0,0,0,3
miss,179863,2560,2669,6399,54620,745002,13160,26923,5355,3,3,0,1141,3,1,545.32,1,0,2,1,0,0,0,3
miss,180031,2328,2455,6491,23323,686489,12996,26513,5355,3,3,0,1229,3,1,465.13,1,0,2,1,0,0,0,3
miss,180444,2473,2585,6419,59619,710658,12739,24511,5363,3,3,0,1369,3,1,556.42,1,0,2,1,0,0,0,3
miss,180647,1489,1621,8071,57763,220404,15371,35613,5399,1,1,0,427,1,0,26.44,0,0,2,0,0,0,0,4
miss,182633,2839,2933,6555,56127,811518,13492,38343,5371,3,3,0,1089,3,2,624.45,1,0,2,1,0,0,0,3
miss,185761,2677,2759,6431,35947,801714,12691,31789,5363,3,3,0,2491,3,1,624.46,1,0,2,1,0,0,0,3
